Step_EOC,Value_EOC,Step_OC,Value_OC
3810,0,9055,1
3811,1,9063,1
3815,0,9073,1
3820,1,9084,1
3822,1,9105,1
3832,1,9122,1
3834,1,9123,1
3836,1,9155,1
3849,1,9156,1
3853,1,9162,1
3855,1,9214,1
3865,1,9216,1
3870,1,9223,1
3877,1,9226,1
3880,1,9233,1
3882,1,9260,1
3902,1,9281,1
3903,0,9291,1
3904,1,9307,1
3906,1,9309,1
3909,1,9311,1
3911,1,9316,1
3917,1,9348,1
3921,0,9353,1
3928,1,9364,1
3929,1,9365,1
3930,1,9366,1
3935,0,9369,1
3936,1,9385,1
3940,1,9412,1
3951,0,9415,1
3957,1,9435,1
3963,1,9441,1
3966,1,9442,0
3968,1,9468,1
3974,1,9475,1
3977,1,9482,1
3981,1,9515,1
3985,0,9537,1
3987,0,9538,1
3990,0,9547,1
3992,1,9554,1
3996,0,9557,1
3998,0,9564,1
4001,1,9567,1
4006,1,9586,1
4010,0,9589,1
4011,1,9600,1
4013,1,9611,1
4022,1,9621,1
4023,1,9623,1
4034,1,9624,1
4036,1,9627,1
4037,1,9651,1
4044,1,9656,1
4046,1,9657,1
4047,1,9661,1
4048,1,9680,1
4049,1,9681,1
4053,1,9690,1
4055,1,9698,1
4077,1,9710,1
4080,1,9750,1
4089,1,9759,1
4092,1,9760,1
4094,1,9766,1
4098,1,9768,1
4099,1,9777,1
4100,1,9812,1
4102,1,9840,1
4110,1,9843,1
4115,1,9846,1
4122,1,9855,1
4150,1,9883,1
4157,1,9907,1
4167,1,9917,1
4168,1,9972,1
4173,1,9978,1
4181,1,9982,1
4182,1,9985,1
4183,1,9996,1
4193,1,10012,1
4194,1,10014,1
4195,1,10019,1
4197,1,10050,1
4199,1,10055,1
4201,1,10056,1
4202,1,10058,1
4203,1,10070,1
4205,1,10072,1
4223,1,10084,1
4228,1,10094,1
4233,0,10107,1
4236,1,10112,1
4239,1,10113,1
4244,1,10128,1
4255,1,10134,1
4264,1,10144,1
4267,1,10168,1
4268,0,10185,1
4277,0,10193,1
4283,0,10207,1
4298,0,10238,1
4299,1,10245,1
4301,1,10248,1
4305,1,10256,1
4309,0,10272,1
4312,1,10276,1
4318,1,10281,1
4320,1,10283,1
4329,1,10285,1
4333,1,10288,1
4339,1,10309,1
